	rets	annret	annrtnz	stdz	std	sharpez	sharpe	sharpenz
CTL	-0.019	-0.004	-0.024	0.072	0.175	-0.058	-0.024	-0.138
L	0.118	0.023	0.26	0.084	0.264	0.281	0.089	0.982
LLL	-0.089	-0.019	-0.1	0.121	0.282	-0.16	-0.068	-0.356
LOW	-0.085	-0.018	-0.148	0.104	0.308	-0.176	-0.06	-0.483
COH	0.163	0.032	0.208	0.15	0.367	0.214	0.087	0.568
IP	0.164	0.032	0.142	0.129	0.263	0.251	0.123	0.541
PEP	0.048	0.009	0.056	0.066	0.155	0.151	0.064	0.362
ETFC	0.792	0.13	1.118	0.171	0.421	0.76	0.309	2.652
TYC	0.185	0.036	0.242	0.103	0.255	0.35	0.142	0.95
ETR	-0.139	-0.03	-0.21	0.068	0.185	-0.454	-0.166	-1.129
JCI	0.112	0.022	0.098	0.147	0.302	0.152	0.074	0.324
NI	0.257	0.049	0.286	0.078	0.178	0.629	0.276	1.606
ALL	0.153	0.03	0.203	0.086	0.213	0.352	0.141	0.95
HRL	0.194	0.037	0.213	0.076	0.173	0.498	0.219	1.232
JNJ	-0.084	-0.018	-0.09	0.061	0.139	-0.297	-0.131	-0.647
CSX	0.078	0.015	0.119	0.117	0.311	0.136	0.051	0.381
ECL	0.059	0.012	0.062	0.101	0.227	0.12	0.053	0.275
TSCO	-0.172	-0.038	-0.164	0.13	0.277	-0.298	-0.14	-0.592
AA	0.191	0.037	0.253	0.147	0.365	0.253	0.102	0.694
URI	-0.399	-0.101	-0.345	0.279	0.555	-0.364	-0.183	-0.622
GT	-0.104	-0.022	-0.168	0.147	0.416	-0.155	-0.055	-0.405
EQR	0.288	0.054	0.422	0.102	0.261	0.535	0.208	1.615
HAS	0.296	0.056	0.372	0.087	0.21	0.639	0.266	1.769
JWN	0.053	0.01	0.055	0.136	0.304	0.08	0.035	0.182
KSU	0.617	0.106	0.886	0.14	0.349	0.757	0.304	2.536
T	0.084	0.017	0.12	0.057	0.148	0.298	0.116	0.808
MMC	0.352	0.065	0.419	0.081	0.189	0.807	0.345	2.215
PWR	0.452	0.081	0.442	0.193	0.416	0.422	0.195	1.061
CAM	0.036	0.007	0.047	0.13	0.321	0.058	0.023	0.147
COL	-0.014	-0.003	-0.016	0.096	0.224	-0.032	-0.014	-0.074
AAPL	0.057	0.011	0.051	0.13	0.269	0.09	0.043	0.191
LEN	0.13	0.026	0.237	0.133	0.383	0.195	0.068	0.619
COF	0.248	0.047	0.277	0.126	0.29	0.376	0.164	0.957
FLS	1.09	0.167	1.605	0.111	0.272	1.496	0.614	5.895
BSX	-0.022	-0.004	-0.03	0.117	0.299	-0.039	-0.015	-0.1
BDX	0.037	0.007	0.038	0.077	0.171	0.099	0.044	0.224
NDAQ	0.232	0.044	0.25	0.108	0.243	0.414	0.184	1.027
ROK	-0.259	-0.061	-0.317	0.163	0.403	-0.372	-0.151	-0.787
ILMN	-0.552	-0.155	-0.478	0.199	0.39	-0.778	-0.397	-1.225
ADM	0.094	0.019	0.092	0.111	0.24	0.171	0.079	0.382
