	rets	annret	annrtnz	stdz	std	sharpez	sharpe	sharpenz
OXY	0.248	0.295	1.998	0.125	0.252	2.354	1.173	7.925
EFX	-0.015	-0.017	-0.069	0.093	0.187	-0.191	-0.095	-0.37
TSN	0.027	0.031	0.326	0.059	0.177	0.538	0.179	1.84
SLG	-0.068	-0.078	-0.326	0.093	0.204	-0.842	-0.385	-1.591
LNC	-0.159	-0.183	-0.512	0.156	0.294	-1.17	-0.623	-1.741
GME	-0.071	-0.083	-0.433	0.106	0.272	-0.778	-0.304	-1.589
EL	0.052	0.061	0.193	0.14	0.242	0.437	0.253	0.795
MAT	0.084	0.098	3.274	0.125	0.486	0.785	0.202	6.734
PNR	0.1	0.118	0.689	0.116	0.252	1.011	0.468	2.733
CME	0.073	0.086	0.322	0.112	0.206	0.769	0.418	1.563
BAC	0.086	0.101	0.848	0.139	0.35	0.729	0.289	2.422
SEE	0.257	0.306	5.077	0.154	0.388	1.982	0.789	13.078
