	rets	annret	annrtnz	stdz	std	sharpez	sharpe	sharpenz
OMC	-0.111	-0.024	-0.237	0.081	0.269	-0.3	-0.09	-0.88
ADM	-0.136	-0.03	-0.303	0.07	0.242	-0.426	-0.124	-1.251
VNO	0.057	0.011	0.112	0.098	0.295	0.12	0.04	0.379
SYK	0.13	0.026	0.291	0.059	0.187	0.437	0.139	1.555
KMB	-0.139	-0.031	-0.212	0.06	0.165	-0.516	-0.187	-1.289
ABC	0.17	0.033	0.593	0.077	0.291	0.429	0.115	2.034
PNC	0.209	0.04	0.51	0.079	0.254	0.511	0.159	2.007
TWX	0.083	0.016	0.158	0.088	0.263	0.189	0.064	0.601
AMAT	-0.025	-0.005	-0.05	0.082	0.256	-0.064	-0.02	-0.196
EXR	0.216	0.042	0.426	0.104	0.307	0.4	0.136	1.388
PCLN	0.491	0.087	1.366	0.12	0.38	0.73	0.23	3.593
AVB	0.199	0.038	0.415	0.087	0.264	0.443	0.147	1.572
FLR	0.417	0.075	2.333	0.073	0.286	1.038	0.264	8.133
KEY	0.536	0.094	1.362	0.091	0.276	1.035	0.341	4.929
AIG	0.047	0.009	0.132	0.078	0.279	0.125	0.035	0.475
CMI	0.163	0.032	0.477	0.104	0.365	0.309	0.088	1.307
SPLS	0.182	0.035	0.685	0.064	0.247	0.552	0.144	2.77
RRC	0.152	0.03	0.286	0.147	0.429	0.205	0.07	0.668
GGP	0.005	0.001	0.009	0.147	0.433	0.007	0.002	0.021
PFE	0.116	0.023	0.322	0.063	0.221	0.365	0.105	1.454
MAT	-0.144	-0.032	-0.309	0.084	0.284	-0.38	-0.113	-1.088
KMX	0.058	0.011	0.178	0.085	0.318	0.139	0.037	0.56
WY	0.047	0.009	0.123	0.085	0.296	0.114	0.033	0.418
AN	-0.181	-0.041	-0.432	0.096	0.353	-0.426	-0.116	-1.224
FOX	0.433	0.078	0.894	0.083	0.239	0.94	0.328	3.735
COP	0.121	0.024	0.342	0.082	0.287	0.296	0.084	1.194
